filename,edge_association,EN,std2,SSIM,cc,SF,VIFF,psnr,avg_gradient,edge_intensity,figure_definition,relatively_warp,SCD,Nabf,MS-SSIM
01434.png,0.6816150219017786,6.606324672698975,29.72981834411621,1.2486717104911804,0.5886480212211609,18.281681060791016,0.5933062434196472,14.09359884262085,5.947516918182373,60.02822409356171,7.2908782958984375,0.18706013076007366,1.6227190494537354,0.0434240729354245,0
01435.png,0.6977448933600063,6.680150032043457,29.985107421875,1.2543183863162994,0.6102837324142456,18.49368667602539,0.5931652188301086,14.431090831756592,6.100062847137451,61.70106062587542,7.437789440155029,0.18160505779087543,1.5863938331604004,0.03898999312706253,0
01436.png,0.697815237622676,6.69872522354126,29.508289337158203,1.2589736878871918,0.5974276661872864,18.39019775390625,0.5320165157318115,14.257451057434082,5.996234893798828,60.642692501339596,7.319660186767578,0.1960803810507059,1.6093425750732422,0.037283380473231584,0
01437.png,0.6775797146445653,6.692978382110596,28.472339630126953,1.2655365765094757,0.5792105197906494,17.681856155395508,0.4958241283893585,14.39474105834961,5.807110786437988,58.82452899395119,7.132453441619873,0.21538900211453438,1.6216591596603394,0.042128490756700304,0
01438.png,0.680783548086478,6.726408958435059,28.622730255126953,1.260952204465866,0.5821173191070557,17.581188201904297,0.47104179859161377,14.545326232910156,5.8944268226623535,59.747768415516624,7.247588634490967,0.21667552553117275,1.6195752620697021,0.040765895980503196,0
01439.png,0.6922643582879989,6.792763710021973,29.77029800415039,1.2545317709445953,0.6126495599746704,18.083585739135742,0.48636066913604736,14.868521690368652,6.182671546936035,62.85930651615608,7.573644638061523,0.18679964542388916,1.5819177627563477,0.038397849210662964,0
01440.png,0.6913729089694207,6.770685195922852,29.679180145263672,1.2533822357654572,0.6089593172073364,18.21648597717285,0.47420603036880493,14.77153491973877,6.196421146392822,62.98230174940229,7.59250020980835,0.18051939271390438,1.5893640518188477,0.03928466175352509,0
01441.png,0.6917636811296877,6.782746315002441,29.893783569335938,1.2444087862968445,0.6008003950119019,18.534957885742188,0.4925467073917389,14.673716068267822,6.296629905700684,64.07285559861323,7.704070091247559,0.16971515864133835,1.6173715591430664,0.039274652347333065,0
01442.png,0.6937809409267335,6.800477981567383,30.103151321411133,1.2346610128879547,0.5895650386810303,19.33258819580078,0.49234795570373535,14.60495662689209,6.518693447113037,66.27105575459433,7.969132423400879,0.16753266006708145,1.630861759185791,0.03941356294413645,0
01443.png,0.699867479395287,6.80427360534668,30.037630081176758,1.2429574131965637,0.5901604294776917,19.619338989257812,0.4795891046524048,14.625873565673828,6.551939010620117,66.46663254853758,8.025843620300293,0.1651359125971794,1.6191730499267578,0.03738436904431261,0
01474.png,0.6607561021091233,6.606184005737305,25.571157455444336,1.3282743692398071,0.5256961584091187,14.861398696899414,0.45516443252563477,14.826066970825195,4.816808700561523,48.74936243283353,5.962693214416504,0.25517885759472847,1.6921577453613281,0.045003013003000504,0
01475.png,0.6616086375308762,6.578457355499268,25.117029190063477,1.3352494537830353,0.5226358771324158,14.348509788513184,0.411480188369751,14.769527912139893,4.631419658660889,46.97884622097728,5.753246784210205,0.281631775200367,1.699690341949463,0.0426041440100069,0
01476.png,0.6583600196711997,6.569575309753418,24.918447494506836,1.3330077230930328,0.5099818706512451,14.299582481384277,0.4353960156440735,14.827072620391846,4.65098237991333,47.346355618939704,5.757084369659424,0.2789819799363613,1.7192649841308594,0.04378872831559102,0
01477.png,0.6537989163498833,6.595910549163818,25.17096519470215,1.3278728127479553,0.5116735696792603,14.094575881958008,0.4492875337600708,14.67027473449707,4.581643104553223,46.75908887984393,5.673652648925781,0.2715348098427057,1.7326678037643433,0.04338050908015774,0
01478.png,0.6545311356362336,6.590520858764648,25.035268783569336,1.3236893713474274,0.5187764167785645,14.257041931152344,0.4369579553604126,14.705058574676514,4.6825947761535645,47.81417608329893,5.784483909606934,0.25405770167708397,1.699672818183899,0.04590291757114749,0
01479.png,0.6742132030803832,6.570491790771484,24.37520980834961,1.313042551279068,0.5287359356880188,14.26654052734375,0.47183308005332947,14.992124557495117,4.8463134765625,49.34186742922669,5.9783525466918945,0.24017039872705936,1.6802599430084229,0.04252573989433523,0
01480.png,0.6827711981541646,6.5756025314331055,24.248958587646484,1.3051653802394867,0.5157672166824341,13.931001663208008,0.4516472816467285,15.18375825881958,4.932688236236572,50.307098901224315,6.047285556793213,0.27132174372673035,1.6983110904693604,0.03853327990104384,0
01481.png,0.6919130062780212,6.625762939453125,25.288320541381836,1.2894235253334045,0.5105282068252563,15.567008018493652,0.46637871861457825,15.342379570007324,5.419179439544678,55.286615095252,6.636881351470947,0.26014135777950287,1.683585286140442,0.038609178279893346,0
01482.png,0.6693994496226671,6.6609978675842285,25.87834930419922,1.2886710166931152,0.5218143463134766,15.837047576904297,0.4848446846008301,15.003516674041748,5.392359733581543,55.120290788831845,6.592548370361328,0.21350840479135513,1.6786144971847534,0.044566278363555194,0
01483.png,0.6716599832882636,6.602409839630127,24.79193687438965,1.3408727645874023,0.5350509881973267,14.464951515197754,0.4998966455459595,15.514787673950195,4.901137828826904,49.966051997346824,6.013534069061279,0.22419311106204987,1.6714074611663818,0.04271146353898743,0
01484.png,0.6691264997364037,6.545838356018066,23.96962547302246,1.34868785738945,0.5129326581954956,14.267538070678711,0.45951277017593384,15.477183818817139,4.7834858894348145,48.696234237732895,5.870343208312988,0.2318539284169674,1.6899616718292236,0.04394345330479598,0
01485.png,0.6706721193899178,6.5956010818481445,24.913915634155273,1.3231358230113983,0.537519633769989,14.950037002563477,0.46488556265830994,15.189314842224121,4.983607292175293,50.81065385073249,6.130744457244873,0.22993867844343185,1.6771653890609741,0.0445685916161639,0
01486.png,0.6758519215540653,6.629326343536377,25.315275192260742,1.3105177581310272,0.5277948975563049,15.695991516113281,0.4271252155303955,15.158542156219482,5.17655086517334,52.90036239701968,6.372323513031006,0.2472874764353037,1.6885521411895752,0.04084302691279223,0
01487.png,0.6693074940293793,6.622439384460449,25.15509796142578,1.3051922619342804,0.527359664440155,15.147740364074707,0.443103551864624,15.122312545776367,5.0584893226623535,51.938742442688934,6.211630821228027,0.25133490934967995,1.6746480464935303,0.04127713269327236,0
